Taxon	H18676	1417.16	H19192	602.16	H18266	H18112	H19465A	1153.13	H19457A	1303.15	H657.17	H19259	1331.14	H19521A	H18788A	H192472A	1553.15	H19485A	H18398	950.13	H18910	1066.13	H18442	1069.14	H19142	H15.17	H617.17	H18362	888.16	1637.15	H19497A	H18128	1388.15	725.16	H18421	H18696	1134.15	H18388	1624.12	1093.13	H18786A	H13.17	250.16	H420.17	H18816	H658.17	H456.17	1097.16	H18199	H18122	1017.16	H17666A	H17432A	H694.17	H18689A	505.16	H19368	945.13	1045.16	H18828	125.13	172.14	100.16	783.16	H321.17	H18183	1095.16	H1866.18	H19261	H19556A	H18223	H18433	1948.15	856.16	727.16	H470.17	1714.14	H18108	H18598	H315.17	H1892.18	H18335	1659.14	788.16	H18.38	H19238	1529.16	421.13
Bacteria;Acidobacteria;Holophagae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Bacteria;Acidobacteria;Other	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	8.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria	5055.0	2974.0	5450.0	5391.0	2865.0	1867.0	2444.0	3353.0	2753.0	5085.0	461.0	442.0	3017.0	4864.0	2252.0	3584.0	2233.0	5624.0	2406.0	2996.0	1999.0	2868.0	1132.0	5592.0	3121.0	22258.0	3065.0	2063.0	4203.0	2826.0	2187.0	3906.0	3617.0	6732.0	1067.0	1234.0	2649.0	3105.0	4566.0	2380.0	7683.0	2574.0	2653.0	4541.0	2256.0	2252.0	3239.0	3737.0	2345.0	1768.0	3220.0	1220.0	1840.0	6390.0	4115.0	1901.0	1153.0	4115.0	2243.0	3304.0	1238.0	5950.0	3970.0	2951.0	3023.0	2244.0	3003.0	1474.0	2596.0	2432.0	2144.0	2040.0	3924.0	6700.0	3070.0	3108.0	1506.0	3774.0	2119.0	6335.0	3204.0	2815.0	6261.0	3211.0	4986.0	1654.0	4170.0	1972.0
Bacteria;Armatimonadetes;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia	5666.0	3843.0	5109.0	2429.0	2113.0	8453.0	3386.0	6757.0	1017.0	4428.0	5944.0	12034.0	1466.0	4998.0	908.0	778.0	3588.0	6203.0	2567.0	3343.0	1798.0	16675.0	4356.0	4481.0	4545.0	1802.0	773.0	955.0	3046.0	2812.0	5106.0	1608.0	4742.0	7654.0	2889.0	1779.0	6175.0	4482.0	6982.0	2003.0	7299.0	1706.0	3869.0	4971.0	1319.0	520.0	4275.0	4632.0	2923.0	1629.0	3734.0	1215.0	615.0	2939.0	1169.0	5463.0	10359.0	5694.0	3289.0	4776.0	4098.0	4717.0	4467.0	5082.0	4544.0	219.0	4478.0	1321.0	12980.0	3453.0	2672.0	3243.0	9383.0	6776.0	9722.0	2216.0	6575.0	1126.0	560.0	9083.0	2439.0	2785.0	3302.0	5260.0	914.0	2453.0	3159.0	1375.0
Bacteria;Bacteroidetes;Cytophagia	60.0	0.0	1.0	0.0	0.0	18.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	350.0	0.0	166.0	0.0	0.0	0.0	132.0	0.0	19.0	1.0	2.0	37.0	2.0	0.0	37.0	0.0	0.0	181.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	206.0	40.0	1.0	34.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	86.0	0.0	90.0	0.0	5.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia	39.0	438.0	18.0	0.0	177.0	558.0	542.0	107.0	168.0	287.0	40.0	2.0	2059.0	2.0	118.0	0.0	29.0	112.0	146.0	21.0	0.0	212.0	6.0	83.0	197.0	207.0	145.0	117.0	0.0	39.0	188.0	34.0	36.0	144.0	0.0	90.0	8.0	0.0	38.0	307.0	319.0	224.0	10.0	0.0	321.0	0.0	153.0	59.0	17.0	71.0	0.0	157.0	272.0	36.0	77.0	38.0	6.0	112.0	1.0	0.0	175.0	1.0	76.0	30.0	185.0	689.0	36.0	1130.0	0.0	109.0	394.0	797.0	291.0	93.0	0.0	0.0	0.0	612.0	0.0	0.0	1120.0	259.0	254.0	156.0	1045.0	0.0	155.0	24.0
Bacteria;Bacteroidetes;Sphingobacteriia	262.0	283.0	1.0	253.0	16.0	5.0	143.0	439.0	479.0	1181.0	107.0	4.0	31050.0	4.0	636.0	330.0	20.0	299.0	13.0	369.0	0.0	128.0	177.0	242.0	334.0	422.0	662.0	17.0	201.0	336.0	476.0	306.0	0.0	321.0	210.0	266.0	93.0	474.0	297.0	446.0	9291.0	126.0	5.0	610.0	241.0	127.0	231.0	319.0	182.0	94.0	45.0	324.0	762.0	376.0	1352.0	48.0	457.0	644.0	13.0	1076.0	0.0	4.0	480.0	204.0	1.0	649.0	23.0	327.0	53.0	199.0	451.0	306.0	51.0	57.0	111.0	118.0	171.0	179.0	1243.0	0.0	103.0	296.0	409.0	476.0	116.0	491.0	202.0	192.0
Bacteria;Chlamydiae;Unclassified	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	29.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0
